"","x"
"1","H3F3A"
"2","CLEC3A"
"3","YWHAZ"
"4","PRSS23"
"5","DBI"
"6","ACACA"
"7","XBP1"
"8","SCD"
"9","ERBB2"
"10","CERS2"
"11","IDI1"
"12","RPN2"
"13","TAX1BP1"
"14","TP53INP2"
"15","MGST3"
"16","MGST1"
"17","GNAS"
"18","MGP"
"19","CHCHD2"
"20","SH3BGRL"
"21","MAL2"
"22","BAMBI"
"23","IGFBP5"
"24","CD24"
"25","ATP5B"
"26","PAPSS2"
"27","SQLE"
"28","HNRNPA2B1"
"29","GGCT"
"30","NIPAL2"
"31","RTN4"
"32","RDH10"
"33","EIF4G2"
"34","COPA"
"35","HSP90AA1"
"36","TMOD3"
"37","TMEM123"
"38","LDHA"
"39","TUBA1B"
"40","LAMP2"
"41","TMEM135"
"42","HPX"
"43","SELT"
"44","AGT"
