"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-72766","R-HSA-72766","Translation","33/103","291/10856",3.96953117730761e-27,7.82791548165061e-26,7.1535130268954e-26,"6193/6144/6137/6203/25873/6171/6175/6181/6122/6132/6142/6209/11224/90480/6222/6168/6748/1981/6156/6188/6158/6176/6223/6205/6232/6134/6143/6159/6208/6157/6135/6191/23521",33
"R-HSA-927802","R-HSA-927802","Nonsense-Mediated Decay (NMD)","32/103","115/10856",1.45740482149969e-39,1.4370011539987e-37,1.31319844968815e-37,"6193/6144/6137/6203/25873/6171/6175/6181/9887/6122/6132/6142/6209/11224/6222/6168/1981/6156/6188/6158/6176/6223/6205/6232/6134/6143/6159/6208/6157/6135/6191/23521",32
"R-HSA-975957","R-HSA-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","32/103","115/10856",1.45740482149969e-39,1.4370011539987e-37,1.31319844968815e-37,"6193/6144/6137/6203/25873/6171/6175/6181/9887/6122/6132/6142/6209/11224/6222/6168/1981/6156/6188/6158/6176/6223/6205/6232/6134/6143/6159/6208/6157/6135/6191/23521",32
"R-HSA-9010553","R-HSA-9010553","Regulation of expression of SLITs and ROBOs","32/103","171/10856",1.76888442360753e-33,4.8447778935473e-32,4.42738323569605e-32,"6193/6144/6137/6203/25873/6171/6175/6181/6122/6132/6142/6209/11224/6222/6168/1981/6156/6188/6158/6176/6223/6205/6232/6134/6143/6159/6208/6157/6135/5714/6191/23521",32
"R-HSA-376176","R-HSA-376176","Signaling by ROBO receptors","32/103","218/10856",6.25158553239101e-30,1.46763412736608e-28,1.34119228464328e-28,"6193/6144/6137/6203/25873/6171/6175/6181/6122/6132/6142/6209/11224/6222/6168/1981/6156/6188/6158/6176/6223/6205/6232/6134/6143/6159/6208/6157/6135/5714/6191/23521",32
"R-HSA-975956","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","31/103","95/10856",8.65237035066939e-41,4.26561858288001e-38,3.89812053693316e-38,"6193/6144/6137/6203/25873/6171/6175/6181/6122/6132/6142/6209/11224/6222/6168/1981/6156/6188/6158/6176/6223/6205/6232/6134/6143/6159/6208/6157/6135/6191/23521",31
"R-HSA-156827","R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","31/103","111/10856",2.35927083461443e-38,1.29235613496102e-36,1.18101510785377e-36,"6193/6144/6137/6203/25873/6171/6175/6181/6122/6132/6142/6209/11224/6222/6168/1981/6156/6188/6158/6176/6223/6205/6232/6134/6143/6159/6208/6157/6135/6191/23521",31
"R-HSA-1799339","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","31/103","112/10856",3.24104127334913e-38,1.45257577069193e-36,1.32743125836692e-36,"6193/6144/6137/6203/25873/6171/6175/6181/6122/6132/6142/6209/11224/6222/6168/6748/6156/6188/6158/6176/6223/6205/6232/6134/6143/6159/6208/6157/6135/6191/23521",31
"R-HSA-72706","R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","31/103","112/10856",3.24104127334913e-38,1.45257577069193e-36,1.32743125836692e-36,"6193/6144/6137/6203/25873/6171/6175/6181/6122/6132/6142/6209/11224/6222/6168/1981/6156/6188/6158/6176/6223/6205/6232/6134/6143/6159/6208/6157/6135/6191/23521",31
"R-HSA-72613","R-HSA-72613","Eukaryotic Translation Initiation","31/103","119/10856",2.73248423609056e-37,8.98076485595099e-36,8.20704037225798e-36,"6193/6144/6137/6203/25873/6171/6175/6181/6122/6132/6142/6209/11224/6222/6168/1981/6156/6188/6158/6176/6223/6205/6232/6134/6143/6159/6208/6157/6135/6191/23521",31
"R-HSA-72737","R-HSA-72737","Cap-dependent Translation Initiation","31/103","119/10856",2.73248423609056e-37,8.98076485595099e-36,8.20704037225798e-36,"6193/6144/6137/6203/25873/6171/6175/6181/6122/6132/6142/6209/11224/6222/6168/1981/6156/6188/6158/6176/6223/6205/6232/6134/6143/6159/6208/6157/6135/6191/23521",31
"R-HSA-168255","R-HSA-168255","Influenza Infection","31/103","156/10856",2.83436502356059e-33,7.35443135060722e-32,6.72082121930157e-32,"6193/6144/6137/6203/25873/6171/6175/6181/6122/6132/6142/6209/11224/6222/6168/6156/6188/6158/6176/6223/6205/6232/6134/6143/6159/6208/6157/6135/6191/23521/7040",31
"R-HSA-71291","R-HSA-71291","Metabolism of amino acids and derivatives","31/103","374/10856",2.71310812166341e-21,5.14447039992332e-20,4.70125617842891e-20,"6193/6144/6137/6203/25873/6171/6175/6181/6122/6132/6142/6209/11224/6222/6168/6156/6188/6158/6176/6223/6205/6232/6134/6143/6159/6208/6157/6135/5714/6191/23521",31
"R-HSA-156902","R-HSA-156902","Peptide chain elongation","30/103","89/10856",5.97886166853806e-40,9.82526267529755e-38,8.97878173380453e-38,"6193/6144/6137/6203/25873/6171/6175/6181/6122/6132/6142/6209/11224/6222/6168/6156/6188/6158/6176/6223/6205/6232/6134/6143/6159/6208/6157/6135/6191/23521",30
"R-HSA-192823","R-HSA-192823","Viral mRNA Translation","30/103","89/10856",5.97886166853806e-40,9.82526267529755e-38,8.97878173380453e-38,"6193/6144/6137/6203/25873/6171/6175/6181/6122/6132/6142/6209/11224/6222/6168/6156/6188/6158/6176/6223/6205/6232/6134/6143/6159/6208/6157/6135/6191/23521",30
"R-HSA-156842","R-HSA-156842","Eukaryotic Translation Elongation","30/103","93/10856",2.85449637654134e-39,1.7590833920436e-37,1.60753216994697e-37,"6193/6144/6137/6203/25873/6171/6175/6181/6122/6132/6142/6209/11224/6222/6168/6156/6188/6158/6176/6223/6205/6232/6134/6143/6159/6208/6157/6135/6191/23521",30
"R-HSA-2408557","R-HSA-2408557","Selenocysteine synthesis","30/103","93/10856",2.85449637654134e-39,1.7590833920436e-37,1.60753216994697e-37,"6193/6144/6137/6203/25873/6171/6175/6181/6122/6132/6142/6209/11224/6222/6168/6156/6188/6158/6176/6223/6205/6232/6134/6143/6159/6208/6157/6135/6191/23521",30
"R-HSA-72764","R-HSA-72764","Eukaryotic Translation Termination","30/103","93/10856",2.85449637654134e-39,1.7590833920436e-37,1.60753216994697e-37,"6193/6144/6137/6203/25873/6171/6175/6181/6122/6132/6142/6209/11224/6222/6168/6156/6188/6158/6176/6223/6205/6232/6134/6143/6159/6208/6157/6135/6191/23521",30
