matching_id,role,cancer_id,cancer_normalized,gene_hugo_id,gene_entrez_id,gene_normalized,citation_count
f952c5ad7bfa3a24e85e9c3326cdeb4f,Oncogene,DOID:1612,breast cancer,HGNC:3430,2064,ERBB2,831
7dcef0d4e3128a7a9d412a1702cfb9e4,Oncogene,DOID:1612,breast cancer,HGNC:7553,4609,MYC,299
4777ca70a48d45ab3ca357af68bcb9d5,Driver,DOID:1612,breast cancer,HGNC:3430,2064,ERBB2,218
e5d7879bfe99a899f2efbd37e860dff1,Tumor_Suppressor,DOID:1612,breast cancer,HGNC:1100,672,BRCA1,134
0655f53767046fcfab01b9e5dbd0c1d7,Tumor_Suppressor,DOID:1612,breast cancer,HGNC:11998,7157,TP53,114
603dccd02863a72e8dfd3b1fef426ffe,Oncogene,DOID:1612,breast cancer,HGNC:3236,1956,EGFR,101
7a28c58bf5f632ee85dcb56d373210c2,Driver,DOID:1612,breast cancer,HGNC:7553,4609,MYC,89
a47356d2f8d97088c678a36b2997ce90,Oncogene,DOID:1612,breast cancer,HGNC:1582,595,CCND1,67
556bbecf6442d83b444911dfc4d3bafd,Tumor_Suppressor,DOID:1612,breast cancer,HGNC:9588,5728,PTEN,65
fda7e5942f7c9e8646d9a334479c3e64,Oncogene,DOID:1612,breast cancer,HGNC:6407,3845,KRAS,48
b72b20ecba597cc0f7db2877c0afad2e,Tumor_Suppressor,DOID:1612,breast cancer,HGNC:1101,675,BRCA2,40
ee510332fa1b25aaba0d56ced46a7ae6,Oncogene,DOID:1612,breast cancer,HGNC:11283,6714,SRC,40
cc33ce86d503ff452b9ff129102333e4,Oncogene,DOID:1612,breast cancer,HGNC:7670,8202,NCOA3,35
391f2db697744d2ca9524b81d43de5e1,Oncogene,DOID:1612,breast cancer,HGNC:11998,7157,TP53,33
27e2228b9df04b468f4a3c930d1c32c2,Driver,DOID:1612,breast cancer,HGNC:8975,5290,PIK3CA,31
4db849142956bcd60ba74d9a08ca0c87,Oncogene,DOID:1612,breast cancer,HGNC:12774,7471,WNT1,30
c6a562f78c5423f640154e5bef382748,Oncogene,DOID:1612,breast cancer,HGNC:11364,6774,STAT3,30
b06429ff8ebc4f7a483605ba3fd1817b,Oncogene,DOID:1612,breast cancer,HGNC:8975,5290,PIK3CA,29
b0333f93c4537c9d4535a80bf42aee2e,Driver,DOID:1612,breast cancer,HGNC:11998,7157,TP53,29
d4473653f101ec8077111d62330eef60,Driver,DOID:1612,breast cancer,HGNC:1100,672,BRCA1,26
1d89695e7a3aac8cb63a11a2915d5f74,Oncogene,DOID:1612,breast cancer,HGNC:6348,9314,KLF4,25
e8b509be27eb6f66c91c69562f692002,Oncogene,DOID:1612,breast cancer,HGNC:3431,2065,ERBB3,23
c7767bdc0749a3220b710bcf8907099d,Oncogene,DOID:1612,breast cancer,HGNC:16262,10413,YAP1,23
3272d2ad07e004a327a5c1c7200fcae3,Tumor_Suppressor,DOID:1612,breast cancer,HGNC:1748,999,CDH1,22
f5206128193b80ad40976e58f5c78178,Driver,DOID:1612,breast cancer,HGNC:3236,1956,EGFR,22
b9878d6417344bcf7182784758184bb9,Oncogene,DOID:1612,breast cancer,HGNC:391,207,AKT1,20
5bc83e4e062f2a5733eda617877f17c0,Oncogene,DOID:1612,breast cancer,HGNC:3796,2353,FOS,20
da4f9fdee2d6c1ac7c0d96b323f1fd2b,Driver,DOID:1612,breast cancer,HGNC:391,207,AKT1,20
0a06c977e8657079e84d82f05d552095,Tumor_Suppressor,DOID:1612,breast cancer,HGNC:6106,50943,FOXP3,18
546f1a06d7e37c0a73d7b942b9d6970f,Tumor_Suppressor,DOID:1612,breast cancer,HGNC:16262,10413,YAP1,18
02100bd5aae87aad50ca001beeddf33a,Oncogene,DOID:1612,breast cancer,HGNC:7029,4233,MET,18
0ea8582818a98ba216a4aace61bc68b0,Oncogene,DOID:1612,breast cancer,HGNC:3527,2146,EZH2,18
e079ab386b6ca2e9516acbc101fd9df1,Oncogene,DOID:1612,breast cancer,HGNC:29608,92140,MTDH,17
2bd9132bdd88addd9c0d8acfe85d5309,Driver,DOID:1612,breast cancer,HGNC:6407,3845,KRAS,17
3df7df4de94dc79a7ad399a84b4a7fc1,Tumor_Suppressor,DOID:1612,breast cancer,HGNC:8949,5268,SERPINB5,16
bb29376d01354db77cd479c8587f3198,Oncogene,DOID:1612,breast cancer,HGNC:9967,5979,RET,16
e6ebc8ecf84d453e9121e1043f3a92d7,Oncogene,DOID:1612,breast cancer,HGNC:7989,4893,NRAS,16
a91ae1d6b5c76779099fb2633877760f,Oncogene,DOID:1612,breast cancer,HGNC:76,25,ABL1,16
5f9d7bd86dc0cd2a98dfded726b9af34,Oncogene,DOID:1612,breast cancer,HGNC:7545,4602,MYB,16
4b448ae97c7f350e0e26c2eeab39b656,Oncogene,DOID:1612,breast cancer,HGNC:6204,3725,JUN,16
32f48e3696f94dd3df09e29a3ad13876,Oncogene,DOID:1612,breast cancer,HGNC:25883,80139,ZNF703,16
4b47e6228f844f1f5c2b59e4284c35b3,Oncogene,DOID:1612,breast cancer,HGNC:1097,673,BRAF,16
133f0db7bd20742850db5f1c7e633e76,Tumor_Suppressor,DOID:1612,breast cancer,HGNC:10471,861,RUNX1,15
4e2e527c201bc53f949b7db067446095,Oncogene,DOID:1612,breast cancer,HGNC:6342,3815,KIT,15
c44f0b5a325863a9f14f1a3c4621a053,Oncogene,DOID:1612,breast cancer,HGNC:3818,2305,FOXM1,15
47ad07ebfada12bdc95243133990a5d7,Tumor_Suppressor,DOID:1612,breast cancer,HGNC:9645,5782,PTPN12,14
496f701a090dd39f0a6f6b0fa3ef4636,Tumor_Suppressor,DOID:1612,breast cancer,HGNC:1787,1029,CDKN2A,14
9e0ce735c48501dc1fb6528a3d2a8279,Tumor_Suppressor,DOID:1612,breast cancer,HGNC:10473,864,RUNX3,14
c1df42117c5ae9749f86b5c1a9ee28e3,Oncogene,DOID:1612,breast cancer,HGNC:9605,5743,PTGS2,14
da7c05dd8d3c32c025255af1e5a3382f,Oncogene,DOID:1612,breast cancer,HGNC:3467,2099,ESR1,14
c73f61d59c0f2a9c7d7aebbd44ae5303,Oncogene,DOID:1612,breast cancer,HGNC:14552,9641,IKBKE,14
524842038791cf584c8e33662a35ab8a,Tumor_Suppressor,DOID:1612,breast cancer,HGNC:11491,6850,SYK,13
4589ec841fb87bed1d603be5ae7f28f5,Oncogene,DOID:1612,breast cancer,HGNC:30134,27043,PELP1,13
a6a12dee4aac4d566225157bf90b8a18,Oncogene,DOID:1612,breast cancer,HGNC:12680,7422,VEGFA,13
e5b1f361828de53f60841b4faea72c8d,Oncogene,DOID:1612,breast cancer,HGNC:10901,6502,SKP2,13
f0ddef1ae0b3904ceaef69962d9c9e6e,Tumor_Suppressor,DOID:1612,breast cancer,HGNC:9882,11186,RASSF1,12
bf1ee9d415b84499a8f806288c0367ca,Tumor_Suppressor,DOID:1612,breast cancer,HGNC:3821,2309,FOXO3,12
6cd3cd2e94ac8d103094df1924672bb8,Tumor_Suppressor,DOID:1612,breast cancer,HGNC:18756,23221,RHOBTB2,12
50636bf109630f039324288eac002dda,Oncogene,DOID:1612,breast cancer,HGNC:6973,4193,MDM2,12
6fea09fa30970c25bd02ecc280f47360,Oncogene,DOID:1612,breast cancer,HGNC:3594,2194,FASN,12
046fd1297d9beeff092ef2729c5baf89,Oncogene,DOID:1612,breast cancer,HGNC:18039,10765,KDM5B,12
a15e1f43c8857d0c714e22730abcd760,Oncogene,DOID:1612,breast cancer,HGNC:1784,1026,CDKN1A,12
b42dee4948cc0c5400ef05464c00d853,Oncogene,DOID:1612,breast cancer,HGNC:13009,7764,ZNF217,12
31182c1ac362e851f92f0a0fe9d6ae19,Oncogene,DOID:1612,breast cancer,HGNC:11577,6901,TAFAZZIN,12
34977333d322913719e7ceac8fa46b8d,Oncogene,DOID:1612,breast cancer,HGNC:9588,5728,PTEN,11
dcee8eb5c6b1c6943a01a99708cc3acb,Oncogene,DOID:1612,breast cancer,HGNC:3488,2113,ETS1,11
75288e2097a301b012a545956e02cd98,Oncogene,DOID:1612,breast cancer,HGNC:1100,672,BRCA1,11
b456d0c8776f0d8e03ecc3a8ac701b37,Oncogene,DOID:1612,breast cancer,HGNC:10471,861,RUNX1,11
322c04e96a4f4d1d4d60db50ce8f7a8d,Driver,DOID:1612,breast cancer,HGNC:3467,2099,ESR1,11
287102ae26a6d5d9c076a802cb64b6c8,Tumor_Suppressor,DOID:1612,breast cancer,HGNC:11389,6794,STK11,10
302bc764f785b39519a2907936fdaacb,Tumor_Suppressor,DOID:1612,breast cancer,HGNC:11362,6772,STAT1,10
43f7602cc42133573838856dd4a7a5a6,Oncogene,DOID:1612,breast cancer,HGNC:17635,29126,CD274,10
194c66296bfe71e97988d0aabf1424b2,Oncogene,DOID:1612,breast cancer,HGNC:11393,6790,AURKA,10
