"","GSP1","COS1","GSP2","COS2","GSP3","COS3","GSP4","COS4","GSP5","COS5","combined_pvalue","adjusted_pvalue"
"GAPDH",1.25407422418054e-05,0.334650016582106,1.64252960685021e-08,0.779941319717486,9.36026733476343e-10,0.0135666155559607,5.02539163682353e-09,0.464338249879424,1.10362901316385e-07,0.0253956260581069,7.4774321179305e-09,4.23346052516547e-06
"MCL1",1.68062306913816e-05,0.319494437462742,1.51975484186988e-08,0.761161664367622,1.29354483842477e-09,0.935400181525069,3.26533905566655e-08,0.580934762803971,2.67965375638525e-06,0.264771457099731,1.14952186658357e-08,6.07907926027226e-06
"LDHB",0.000161926655698229,0.00485062980939248,9.4034148349487e-06,0.392803476253628,1.70096839115849e-05,0.685548487801688,0.000168816470381279,0.161683335521895,0.000946206792388874,0.0153326843896872,5.60015620099108e-05,0.0124769475856513
"COL6A3",1.93212181730139e-13,0.0358612088133079,4.97511095121981e-18,0.800508848601978,4.59673316612042e-18,0.699014557728549,4.81690182348846e-15,0.295981562627613,4.03251987466582e-12,0.255530253934158,1.11022302462516e-16,3.3392751712252e-13
"RPS5",5.71210974858629e-09,0.0303370814350034,2.58078405544352e-12,0.973914030886955,8.27857605091496e-13,0.437202740839595,9.37453815738011e-13,0.418511169287155,4.15269327356943e-12,1.16898690496466e-06,3.44468897850447e-12,3.60374576478623e-09
"C4B",7.3525681385051e-06,0.0116423840219037,1.70755208629784e-06,0.823988690711264,5.9071642767197e-05,0.501059687452298,0.0045631595333312,0.0876299442332007,0.0315160070618523,0.0158958530252761,1.35322637402346e-05,0.00359793936304169
"H3F3A",3.55693747537582e-06,0.00567740407079743,4.57970298709764e-08,0.683962877467976,4.64074330058123e-07,0.349671497391717,3.00443519274788e-05,0.270083604582272,0.000449596260355647,0.000489163114337997,4.11367293118303e-07,0.000149974626467545
"RPL21",1.48013556847656e-05,0.14495912464218,2.80590732555347e-05,0.96291813032324,0.000611511126135103,0.251229423785918,0.00511060575969547,0.501773965479365,0.00521398764489412,0.00107929918634393,9.42219417743306e-05,0.018507507198793
"CD63",0.000240565944197823,0.0300014507670509,2.08734085597584e-05,0.966261918146846,0.000117888535873125,0.620455748361311,0.00137850776299525,0.322826859334927,0.00513536195743607,0.0175823409433188,0.000162525893108612,0.0296265168840956
"TCEB2",0.000449031336284029,0.491959733313226,3.77944661654594e-06,0.936178623566158,9.83195604528913e-08,0.18179839261597,2.35414622035098e-08,0.743901275901876,7.69528937297167e-08,0.0245126545380757,1.51719818930474e-07,6.29428332121011e-05
"H2AFJ",6.63979645496994e-09,0.138737439115454,1.10606732740799e-13,0.353239639261676,1.33093689021335e-15,0.835806717270489,4.25919173531543e-15,0.468740615827937,1.283839447788e-13,0.0372120896337057,1.02140518265514e-14,1.89054348155519e-11
"RPL13",6.15987888406601e-13,0.130267809321468,6.43547430147013e-16,0.754837863703955,8.05821105385207e-16,0.601572243345557,7.81077637404269e-15,0.476978085746226,1.34880986555234e-13,0.00040114700536432,3.5527136788005e-15,6.8388355506692e-12
"MYL9",1.56846228889315e-05,0.103147647556107,4.53830426186699e-07,0.855530937319961,9.81448884919292e-07,0.822179529240876,9.95800200128573e-06,0.474760278178135,6.21787708568744e-05,0.0206739567365531,2.938863830515e-06,0.000895126342623546
"IFI6",3.90630637061491e-07,0.0653961628837446,5.53353569029393e-09,0.383092930789306,9.4985704897542e-08,0.996376608928483,3.69237455873826e-05,0.33058443484613,0.00104130384526943,0.0297769800127811,5.15910780762852e-08,2.29886151008123e-05
"IGFBP7",5.59426029438279e-05,0.0519993613924472,9.62436051517636e-07,0.439092179789705,6.28942221566907e-08,0.700151224070403,1.21614381901577e-07,0.110803130472399,1.49313323924714e-06,0.381217962007291,3.86860832257696e-07,0.000144320163652772
"MMP2",1.06772724718525e-05,0.0267345536114406,2.32817350475919e-06,0.845469411629157,2.10275790222868e-05,0.313149863722062,0.000295982183556494,0.383316258950448,0.00193183343466852,0.02741420224368,1.74003226940389e-05,0.00445411488289899
"FXYD3",6.04811468018372e-12,0.0671783491086703,6.9313641156307e-15,0.947059357966504,4.37538483079782e-13,0.784370894436842,7.26447674917556e-09,0.306716210967073,9.74316125571637e-06,0.0529853702425827,6.82787160144471e-14,1.02682711515175e-10
